,Sygnatura czasowa,Kod badanego,Testowany interfejs,1. Chciałbym często używać tego sposobu kontroli odtwarzania filmu,2. Używanie tego sposobu było niepotrzebnie skomplikowane,3. Używanie tego sposobu nie sprawiało mi problemów (było łatwe),"4. Potrzebował bym pomocy osoby ""technicznej"", aby używać tego sposobu kontroli.","5. Poszczególne elementy kontroli były łatwo dostępne, tworzyły spójną całość.",6. Poszczególne elementy sposobu kontroli nie były ze sobą zgodne (nie tworzyły spójnej całości),"7. Uważam, że każdy może bardzo szybko nauczyć się używać tego sposobu kontroli odtwarzani filmu.","8. Sposób był ""nieporęczny"", niewygodny.",9. Czułem się pewnie używając tego sposobu kontroli odtwarzania. Jego działanie było przewidywalne i zgodne z intuicją.,"10. Musiałem nauczyć się sporo nowych rzeczy, aby móc używać tego sposobu kontroli odtwarzania filmu.",Jakie elementy najbardziej przeszkadzały Ci w używaniu tego sposobu?,Jakie elementy były dobrze zaprojektowane (nie sprawiały kłopotów albo były przydatne)?,"Co można byłoby zmienić w tym sposobie kontroli odtwarzania filmu, aby go poprawić?"
20,2019-05-19 17:07:29,sub-04,Przyciski wzrokowe,nie mam zdania,raczej się nie zgadzam,nie mam zdania,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,"Kursor ""uciekał"" z małych przycisków. Utrudniało to ustawianie głośności i przewijanie filmu.",Wszystkie funkcje interfejsu od razu dostępne.,Większe przyciski
21,2019-05-23 15:33:57,sub-05,Obszary aktywowane przemieszczeniem spojrzenia,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,,,
22,2019-05-23 15:53:59,sub-05,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,,,
23,2019-05-23 16:20:43,sub-05,Obszary aktywowane spojrzeniem,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,Przycisk nad pauzą ,,
24,2019-05-24 13:54:03,sub-06,Obszary aktywowane przemieszczeniem spojrzenia,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się zgadzam,Małe opóznienie między wzrokiem a kursorem,Całość  poza przewijaniem w tył ,Poprawić sposób cofania filmu np poprzez umieszczenie niewielkiej wskazówki odnosnie obszaru cofania 
25,2019-05-24 14:22:12,sub-06,Obszary aktywowane spojrzeniem,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,Brak widocznego obszaru cofania ,,Uwidocznić pasek cofania 
26,2019-05-24 14:44:42,sub-06,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,,,
27,2019-05-28 13:19:15,sub-08,Przyciski wzrokowe,zdecydowanie nie zgadzam się,raczej się nie zgadzam,nie mam zdania,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie nie zgadzam się,,zmiana głośności,czytanie tytułów w filmów
28,2019-05-28 13:47:49,sub-08,Obszary aktywowane przemieszczeniem spojrzenia,nie mam zdania,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,brak zaznaczonego obszaru cofania filmu,,
29,2019-05-28 14:09:01,sub-08,Obszary aktywowane spojrzeniem,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,"wybieranie filmu, brak możliwości przeczytania tytułu, przypadkowe włączenia","zmiana głośności, przewijanie, stop/start",wybieranie filmu
30,2019-06-02 07:44:27,sub-10,Obszary aktywowane spojrzeniem,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,Potrzeba by więcej czasu żeby czytać tytuły filmów.,,
31,2019-06-02 08:01:59,sub-10,Obszary aktywowane przemieszczeniem spojrzenia,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,Przemieszczanie wzroku,,
32,2019-06-02 08:18:01,sub-10,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,,,
33,2019-06-02 10:10:17,sub-11,Obszary aktywowane przemieszczeniem spojrzenia,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania,nie mam zdania,raczej się zgadzam,nie mam zdania,raczej się nie zgadzam,raczej się nie zgadzam,"Kontrolka nie była dokładna, a przy tym strasznie czuła",,
34,2019-06-02 10:34:14,sub-11,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,musiałam patrzeć w miejsca trochę oddalone od przycisków,przyciski były czytelne i łatwe do obsługi,
35,2019-06-02 10:53:26,sub-11,Obszary aktywowane spojrzeniem,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,,,
36,2019-06-02 12:24:42,sub-12,Obszary aktywowane przemieszczeniem spojrzenia,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,"za krótki czas na wybranie filmu, brak powrotu do poprzednich pozycji, brak płynności",,obszary odpowiedzialne za głośność mogłyby być umieszczone z góry filmu
37,2019-06-02 12:44:15,sub-12,Obszary aktywowane spojrzeniem,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,"brak płynności, za krótki czas na wybranie filmu",,inne rozmieszczenie obszarów głośności (góra i dół)
38,2019-06-02 12:56:31,sub-12,Przyciski wzrokowe,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,brak płynności,,
39,2019-08-02 14:53:41,sub-16,Obszary aktywowane spojrzeniem,raczej się nie zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,nie mam zdania,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,Przycisk cofania ukryty pod filmem,,
40,2019-08-02 15:23:22,sub-16,Obszary aktywowane przemieszczeniem spojrzenia,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,nie mam zdania,raczej się nie zgadzam,,,
41,2019-08-02 15:45:39,sub-16,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,,,Większe przyciski do przewijania 
42,2019-08-14 10:33:56,sub-17,Obszary aktywowane przemieszczeniem spojrzenia,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie nie zgadzam się,zdecydowanie nie zgadzam się,filmiki włączały się zbyt szybko,,wolniejsze włączanie filmików
43,2019-08-14 11:00:55,sub-17,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zbyt szybkie filmiki,,
44,2019-08-14 11:28:23,sub-17,Obszary aktywowane spojrzeniem,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,szybkie filmiki,,
